cell_line,reported_sex,DDX3Y_expression,DDX3Y_expression_category,EIF1AY_expression,EIF1AY_expression_category,KDM5D_expression,KDM5D_expression_category,NLGN4Y_expression,NLGN4Y_expression_category,RPS4Y1_expression,RPS4Y1_expression_category,TMSB4Y_expression,TMSB4Y_expression_category,USP9Y_expression,USP9Y_expression_category,UTY_expression,UTY_expression_category,ZFY_expression,ZFY_expression_category
HCT15_LARGE_INTESTINE,male,15417,high_expression,6482,high_expression,6434,high_expression,0,low_expression,45,low_expression,2310,high_expression,6258,high_expression,2535,high_expression,2208,high_expression
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,7909,high_expression,7696,high_expression,7139,high_expression,9513,high_expression,24725,high_expression,261,high_expression,7352,high_expression,2951,high_expression,2497,high_expression
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,35731,high_expression,13935,high_expression,9030,high_expression,2635,high_expression,110975,high_expression,31,intermediate_expression,11228,high_expression,4163,high_expression,3718,high_expression
HDQP1_BREAST,female,24,low_expression,4,low_expression,7,low_expression,6,low_expression,40,low_expression,0,low_expression,9,low_expression,0,low_expression,1,low_expression
HEC108_ENDOMETRIUM,female,51,low_expression,16,low_expression,14,low_expression,2,low_expression,68,low_expression,0,low_expression,5,low_expression,7,low_expression,3,low_expression
HEC151_ENDOMETRIUM,female,44,low_expression,2,low_expression,2,low_expression,6,low_expression,42,low_expression,0,low_expression,9,low_expression,4,low_expression,9,low_expression
HEC1A_ENDOMETRIUM,female,87,low_expression,39,low_expression,19,low_expression,3,low_expression,195,low_expression,0,low_expression,24,low_expression,12,low_expression,9,low_expression
HEC1B_ENDOMETRIUM,female,27,low_expression,0,low_expression,3,low_expression,1,low_expression,36,low_expression,0,low_expression,10,low_expression,5,low_expression,1,low_expression
HEC251_ENDOMETRIUM,female,37,low_expression,1,low_expression,6,low_expression,2,low_expression,44,low_expression,4,low_expression,8,low_expression,2,low_expression,3,low_expression
HEC265_ENDOMETRIUM,female,24,low_expression,7,low_expression,8,low_expression,4,low_expression,41,low_expression,1,low_expression,12,low_expression,11,low_expression,2,low_expression
HEC50B_ENDOMETRIUM,female,33,low_expression,12,low_expression,13,low_expression,0,low_expression,56,low_expression,0,low_expression,12,low_expression,4,low_expression,0,low_expression
HEC59_ENDOMETRIUM,female,26,low_expression,6,low_expression,4,low_expression,11,low_expression,43,low_expression,0,low_expression,9,low_expression,8,low_expression,3,low_expression
HEC6_ENDOMETRIUM,female,56,low_expression,17,low_expression,7,low_expression,2,low_expression,93,low_expression,0,low_expression,8,low_expression,6,low_expression,6,low_expression
HEKTE_KIDNEY,NA,22,low_expression,2,low_expression,2,low_expression,2,low_expression,32,low_expression,1,low_expression,9,low_expression,3,low_expression,0,low_expression
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,45278,high_expression,14653,high_expression,22347,high_expression,0,low_expression,55131,high_expression,638,high_expression,6748,high_expression,8944,high_expression,5298,high_expression
HELA_CERVIX,NA,13,low_expression,15,low_expression,7,low_expression,4,low_expression,44,low_expression,0,low_expression,4,low_expression,4,low_expression,0,low_expression
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,31954,high_expression,12613,high_expression,23868,high_expression,2,low_expression,80209,high_expression,763,high_expression,7069,high_expression,8004,high_expression,3573,high_expression
HEP3B217_LIVER,male,24,low_expression,9,low_expression,5,low_expression,2,low_expression,29,low_expression,0,low_expression,4,low_expression,4,low_expression,0,low_expression
HEPG2_LIVER,male,16976,high_expression,3698,high_expression,5139,high_expression,2016,high_expression,42443,high_expression,22,low_expression,3482,high_expression,12,low_expression,1420,high_expression
HEYA8_OVARY,female,19,low_expression,6,low_expression,8,low_expression,3,low_expression,35,low_expression,0,low_expression,7,low_expression,7,low_expression,2,low_expression
HGC27_STOMACH,NA,10,low_expression,3,low_expression,8,low_expression,0,low_expression,18,low_expression,0,low_expression,2,low_expression,2,low_expression,2,low_expression
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,26,low_expression,4,low_expression,6,low_expression,0,low_expression,37,low_expression,4,low_expression,6,low_expression,6,low_expression,0,low_expression
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,51,low_expression,20,low_expression,22,low_expression,30,low_expression,165,low_expression,3,low_expression,29,low_expression,10,low_expression,6,low_expression
HLFA_FIBROBLAST,female,15,low_expression,4,low_expression,7,low_expression,2,low_expression,33,low_expression,1,low_expression,1,low_expression,4,low_expression,6,low_expression
HLF_LIVER,male,14,low_expression,4,low_expression,4,low_expression,48,low_expression,33,low_expression,0,low_expression,2,low_expression,8,low_expression,3,low_expression
HMC18_BREAST,female,32,low_expression,4,low_expression,8,low_expression,4,low_expression,41,low_expression,0,low_expression,2,low_expression,5,low_expression,2,low_expression
HMCB_SKIN,NA,38,low_expression,4,low_expression,10,low_expression,47,low_expression,41,low_expression,0,low_expression,10,low_expression,3,low_expression,4,low_expression
HMEL_BREAST,NA,21,low_expression,3,low_expression,4,low_expression,44,low_expression,32,low_expression,0,low_expression,4,low_expression,6,low_expression,2,low_expression
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,30,low_expression,12,low_expression,11,low_expression,0,low_expression,31,low_expression,1,low_expression,9,low_expression,4,low_expression,2,low_expression
HOP62_LUNG,NA,11,low_expression,6,low_expression,2,low_expression,5,low_expression,20,low_expression,2,low_expression,9,low_expression,3,low_expression,0,low_expression
HOP92_LUNG,NA,21,low_expression,8,low_expression,2,low_expression,4,low_expression,58,low_expression,8,low_expression,12,low_expression,4,low_expression,0,low_expression
HOS_BONE,female,30,low_expression,3,low_expression,4,low_expression,5,low_expression,41,low_expression,4,low_expression,2,low_expression,7,low_expression,10,low_expression
HPAC_PANCREAS,female,7,low_expression,3,low_expression,4,low_expression,2,low_expression,43,low_expression,0,low_expression,8,low_expression,5,low_expression,2,low_expression
HPAFII_PANCREAS,male,25,low_expression,6,low_expression,7,low_expression,6,low_expression,44,low_expression,0,low_expression,8,low_expression,7,low_expression,9,low_expression
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,32101,high_expression,7372,high_expression,15129,high_expression,20,low_expression,67821,high_expression,541,high_expression,10910,high_expression,5678,high_expression,2088,high_expression
HS172T_FIBROBLAST,male,13721,high_expression,6183,high_expression,3983,high_expression,1383,intermediate_expression,16463,high_expression,71,intermediate_expression,14126,high_expression,2172,high_expression,3633,high_expression
HS229T_FIBROBLAST,male,8690,high_expression,4192,high_expression,3132,high_expression,1261,intermediate_expression,35476,high_expression,72,intermediate_expression,3925,high_expression,1194,high_expression,2713,high_expression
HS255T_FIBROBLAST,female,26,low_expression,8,low_expression,10,low_expression,4,low_expression,63,low_expression,0,low_expression,10,low_expression,3,low_expression,14,low_expression
HS274T_FIBROBLAST,female,12,low_expression,4,low_expression,1,low_expression,2,low_expression,72,low_expression,2,low_expression,6,low_expression,2,low_expression,6,low_expression
HS281T_FIBROBLAST,female,15,low_expression,1,low_expression,9,low_expression,2,low_expression,50,low_expression,2,low_expression,6,low_expression,1,low_expression,4,low_expression
HS294T_SKIN,male,13,low_expression,7,low_expression,3,low_expression,436,intermediate_expression,38,low_expression,0,low_expression,5,low_expression,3,low_expression,5,low_expression
HS343T_FIBROBLAST,female,37,low_expression,4,low_expression,6,low_expression,4,low_expression,40,low_expression,6,low_expression,6,low_expression,2,low_expression,2,low_expression
HS578T_BREAST,female,11,low_expression,0,low_expression,1,low_expression,6,low_expression,33,low_expression,2,low_expression,5,low_expression,3,low_expression,7,low_expression
HS600T_FIBROBLAST,NA,13212,high_expression,2799,high_expression,3748,high_expression,3003,high_expression,18851,high_expression,55,intermediate_expression,4447,high_expression,1302,high_expression,2299,high_expression
HS606T_FIBROBLAST,female,27,low_expression,2,low_expression,5,low_expression,0,low_expression,68,low_expression,0,low_expression,6,low_expression,10,low_expression,7,low_expression
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,46,low_expression,5,low_expression,9,low_expression,0,low_expression,51,low_expression,1,low_expression,12,low_expression,2,low_expression,4,low_expression
HS616T_FIBROBLAST,male,13104,high_expression,3321,high_expression,5726,high_expression,3874,high_expression,28944,high_expression,90,intermediate_expression,7065,high_expression,2037,high_expression,3084,high_expression
HS618T_FIBROBLAST,female,26,low_expression,2,low_expression,4,low_expression,0,low_expression,49,low_expression,0,low_expression,5,low_expression,4,low_expression,5,low_expression
HS675T_FIBROBLAST,male,10756,high_expression,4761,high_expression,5790,high_expression,780,intermediate_expression,36902,high_expression,7,low_expression,8834,high_expression,1918,high_expression,2348,high_expression
HS683_CENTRAL_NERVOUS_SYSTEM,male,14290,high_expression,4965,high_expression,6899,high_expression,2883,high_expression,31861,high_expression,164,high_expression,6858,high_expression,2656,high_expression,2782,high_expression
HS688AT_FIBROBLAST,male,7825,high_expression,2281,high_expression,4633,high_expression,3782,high_expression,24720,high_expression,45,intermediate_expression,4811,high_expression,1365,high_expression,2402,high_expression
HS695T_SKIN,male,17327,high_expression,3341,high_expression,5560,high_expression,1758,high_expression,32757,high_expression,134,high_expression,3575,high_expression,2845,high_expression,2442,high_expression
HS698T_FIBROBLAST,male,17,low_expression,5,low_expression,14,low_expression,4,low_expression,48,low_expression,2,low_expression,14,low_expression,10,low_expression,2,low_expression
HS706T_BONE,female,24,low_expression,7,low_expression,10,low_expression,11,low_expression,52,low_expression,0,low_expression,8,low_expression,6,low_expression,5,low_expression
HS729_SOFT_TISSUE,male,17764,high_expression,158,intermediate_expression,6470,high_expression,13941,high_expression,40588,high_expression,264,high_expression,10698,high_expression,2846,high_expression,3682,high_expression
HS737T_FIBROBLAST,female,17,low_expression,4,low_expression,5,low_expression,0,low_expression,34,low_expression,2,low_expression,5,low_expression,2,low_expression,5,low_expression
HS739T_FIBROBLAST,female,39,low_expression,6,low_expression,8,low_expression,0,low_expression,28,low_expression,0,low_expression,16,low_expression,3,low_expression,11,low_expression
HS742T_FIBROBLAST,female,27,low_expression,6,low_expression,5,low_expression,0,low_expression,36,low_expression,2,low_expression,2,low_expression,4,low_expression,3,low_expression
HS746T_STOMACH,male,18022,high_expression,2237,high_expression,3559,high_expression,208,low_expression,2130,high_expression,162,high_expression,5060,high_expression,1516,high_expression,2096,high_expression
HS751T_FIBROBLAST,NA,12316,high_expression,2091,high_expression,6109,high_expression,1942,high_expression,24176,high_expression,48,intermediate_expression,6296,high_expression,1619,high_expression,2644,high_expression
HS766T_PANCREAS,male,11,low_expression,2,low_expression,1,low_expression,0,low_expression,37,low_expression,2,low_expression,3,low_expression,4,low_expression,4,low_expression
HS819T_FIBROBLAST,male,15,low_expression,6,low_expression,8,low_expression,0,low_expression,40,low_expression,0,low_expression,6,low_expression,4,low_expression,0,low_expression
HS821T_FIBROBLAST,female,24,low_expression,3,low_expression,4,low_expression,3,low_expression,48,low_expression,2,low_expression,5,low_expression,5,low_expression,5,low_expression
HS822T_FIBROBLAST,female,10,low_expression,4,low_expression,7,low_expression,2,low_expression,40,low_expression,0,low_expression,7,low_expression,3,low_expression,5,low_expression
HS834T_FIBROBLAST,NA,19,low_expression,7,low_expression,8,low_expression,0,low_expression,44,low_expression,0,low_expression,5,low_expression,1,low_expression,2,low_expression
HS839T_FIBROBLAST,female,20,low_expression,8,low_expression,5,low_expression,0,low_expression,41,low_expression,4,low_expression,11,low_expression,4,low_expression,6,low_expression
HS840T_FIBROBLAST,male,11222,high_expression,3320,high_expression,4484,high_expression,1249,intermediate_expression,24866,high_expression,38,intermediate_expression,5138,high_expression,1158,high_expression,2146,high_expression
HS852T_SKIN,NA,6191,high_expression,5402,high_expression,3545,high_expression,1971,high_expression,33125,high_expression,156,high_expression,1615,high_expression,2025,high_expression,1550,high_expression
HS863T_FIBROBLAST,female,17,low_expression,5,low_expression,5,low_expression,7,low_expression,54,low_expression,0,low_expression,4,low_expression,0,low_expression,9,low_expression
HS870T_FIBROBLAST,NA,18875,high_expression,5981,high_expression,5159,high_expression,2957,high_expression,39482,high_expression,87,intermediate_expression,6760,high_expression,1391,high_expression,3536,high_expression
HS888T_FIBROBLAST,male,16418,high_expression,4599,high_expression,6254,high_expression,2422,high_expression,34384,high_expression,38,intermediate_expression,6729,high_expression,1640,high_expression,3279,high_expression
HS895T_FIBROBLAST,female,9,low_expression,3,low_expression,8,low_expression,0,low_expression,31,low_expression,7,low_expression,1,low_expression,4,low_expression,6,low_expression
HS934T_FIBROBLAST,female,24,low_expression,4,low_expression,3,low_expression,6,low_expression,33,low_expression,2,low_expression,11,low_expression,2,low_expression,6,low_expression
HS936T_SKIN,male,18143,high_expression,6923,high_expression,9382,high_expression,627,intermediate_expression,51189,high_expression,27,low_expression,6462,high_expression,4005,high_expression,2350,high_expression
HS939T_SKIN,female,15,low_expression,4,low_expression,6,low_expression,3,low_expression,44,low_expression,1,low_expression,7,low_expression,2,low_expression,6,low_expression
HS940T_FIBROBLAST,male,15941,high_expression,3845,high_expression,5873,high_expression,973,intermediate_expression,26768,high_expression,40,intermediate_expression,8305,high_expression,1706,high_expression,2790,high_expression
HS944T_SKIN,male,11436,high_expression,3761,high_expression,2968,high_expression,236,intermediate_expression,43078,high_expression,111,high_expression,2014,high_expression,968,high_expression,1723,high_expression
HSC2_UPPER_AERODIGESTIVE_TRACT,male,2478,high_expression,594,high_expression,866,high_expression,478,intermediate_expression,9855,high_expression,37,intermediate_expression,1243,high_expression,676,high_expression,334,high_expression
HSC3_UPPER_AERODIGESTIVE_TRACT,male,11867,high_expression,2823,high_expression,2841,high_expression,672,intermediate_expression,25827,high_expression,58,intermediate_expression,4137,high_expression,1611,high_expression,1953,high_expression
HSC4_UPPER_AERODIGESTIVE_TRACT,male,52,low_expression,8,low_expression,33,low_expression,6,low_expression,152,low_expression,2,low_expression,20,low_expression,11,low_expression,1,low_expression
HT1080_SOFT_TISSUE,male,23519,high_expression,4299,high_expression,5068,high_expression,641,intermediate_expression,59889,high_expression,4,low_expression,3316,high_expression,1237,high_expression,2368,high_expression
HT115_LARGE_INTESTINE,NA,49,low_expression,0,low_expression,15,low_expression,0,low_expression,47,low_expression,0,low_expression,20,low_expression,0,low_expression,5,low_expression
HT1197_URINARY_TRACT,male,18336,high_expression,3978,high_expression,5490,high_expression,309,intermediate_expression,59309,high_expression,110,high_expression,164,intermediate_expression,3309,high_expression,2089,high_expression
HT1376_URINARY_TRACT,female,21,low_expression,2,low_expression,3,low_expression,8,low_expression,30,low_expression,0,low_expression,10,low_expression,2,low_expression,7,low_expression
HT144_SKIN,male,19,low_expression,8,low_expression,8,low_expression,38,low_expression,65345,high_expression,0,low_expression,2,low_expression,0,low_expression,3541,high_expression
HT29_LARGE_INTESTINE,female,9,low_expression,2,low_expression,17,low_expression,2,low_expression,20,low_expression,1,low_expression,3,low_expression,1,low_expression,0,low_expression
HT55_LARGE_INTESTINE,NA,15,low_expression,8,low_expression,4,low_expression,2,low_expression,29,low_expression,2,low_expression,14,low_expression,3,low_expression,6,low_expression
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,30403,high_expression,8373,high_expression,11281,high_expression,0,low_expression,63807,high_expression,52,intermediate_expression,8881,high_expression,3838,high_expression,2310,high_expression
HUCCT1_BILIARY_TRACT,male,6434,high_expression,5829,high_expression,1182,high_expression,2,low_expression,43905,high_expression,224,high_expression,2976,high_expression,809,high_expression,1692,high_expression
HUG1N_STOMACH,male,27,low_expression,17,low_expression,9,low_expression,0,low_expression,40,low_expression,0,low_expression,16,low_expression,2,low_expression,1,low_expression
HUH1_LIVER,male,12367,high_expression,2177,high_expression,3721,high_expression,11,low_expression,27887,high_expression,102,high_expression,3316,high_expression,1476,high_expression,1554,high_expression
HUH28_BILIARY_TRACT,NA,22,low_expression,3,low_expression,18,low_expression,24,low_expression,113,low_expression,0,low_expression,7,low_expression,4,low_expression,9,low_expression
HUH6_LIVER,male,16616,high_expression,4813,high_expression,9392,high_expression,997,intermediate_expression,29012,high_expression,8,low_expression,3175,high_expression,2361,high_expression,2832,high_expression
HUH7_LIVER,male,22,low_expression,8,low_expression,14,low_expression,2,low_expression,39,low_expression,0,low_expression,12,low_expression,7,low_expression,2,low_expression
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,21219,high_expression,10679,high_expression,14880,high_expression,509,intermediate_expression,39373,high_expression,762,high_expression,6136,high_expression,3225,high_expression,2715,high_expression
HUPT3_PANCREAS,male,5761,high_expression,2996,high_expression,3559,high_expression,1227,intermediate_expression,27310,high_expression,122,high_expression,3003,high_expression,1594,high_expression,1109,high_expression
HUPT4_PANCREAS,male,17,low_expression,5,low_expression,10,low_expression,2,low_expression,19,low_expression,0,low_expression,3,low_expression,4,low_expression,3,low_expression
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,32690,high_expression,8032,high_expression,14172,high_expression,1612,high_expression,29679,high_expression,273,high_expression,11555,high_expression,4837,high_expression,2769,high_expression
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,31,low_expression,11013,high_expression,8724,high_expression,0,low_expression,45149,high_expression,0,low_expression,0,low_expression,6,low_expression,2343,high_expression
HUTU80_SMALL_INTESTINE,male,20980,high_expression,4274,high_expression,8165,high_expression,110,low_expression,55114,high_expression,658,high_expression,3784,high_expression,2695,high_expression,2543,high_expression
IALM_LUNG,male,3,low_expression,9739,high_expression,12497,high_expression,519,intermediate_expression,22,low_expression,0,low_expression,8,low_expression,4,low_expression,8,low_expression
IGR1_SKIN,male,14024,high_expression,5181,high_expression,5967,high_expression,23,low_expression,55417,high_expression,55,intermediate_expression,3412,high_expression,2131,high_expression,2281,high_expression
IGR37_SKIN,male,19025,high_expression,5304,high_expression,7942,high_expression,189,low_expression,55920,high_expression,76,intermediate_expression,2597,high_expression,4283,high_expression,3387,high_expression
IGR39_SKIN,male,16042,high_expression,3829,high_expression,5491,high_expression,202,low_expression,62188,high_expression,117,high_expression,5598,high_expression,4577,high_expression,3053,high_expression
IGROV1_OVARY,female,97,low_expression,33,low_expression,32,low_expression,19,low_expression,181,low_expression,0,low_expression,39,low_expression,15,low_expression,33,low_expression
IM95_STOMACH,male,10,low_expression,5,low_expression,2,low_expression,8,low_expression,21,low_expression,0,low_expression,4,low_expression,0,low_expression,1,low_expression
IMR32_AUTONOMIC_GANGLIA,male,16930,high_expression,3995,high_expression,5435,high_expression,2347,high_expression,53405,high_expression,1,low_expression,4217,high_expression,2231,high_expression,1144,high_expression
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,10568,high_expression,8690,high_expression,14806,high_expression,12,low_expression,20195,high_expression,266,high_expression,1245,high_expression,3513,high_expression,1663,high_expression
IOMMLEE_CENTRAL_NERVOUS_SYSTEM,NA,25,low_expression,0,low_expression,4,low_expression,0,low_expression,18,low_expression,1,low_expression,8,low_expression,5,low_expression,1,low_expression
IPC298_SKIN,female,4,low_expression,0,low_expression,1,low_expression,2,low_expression,33,low_expression,0,low_expression,2,low_expression,1,low_expression,2,low_expression
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,female,15,low_expression,10,low_expression,6,low_expression,2,low_expression,31,low_expression,2,low_expression,5,low_expression,6,low_expression,0,low_expression
ISTMES1_PLEURA,female,19,low_expression,2,low_expression,2,low_expression,2,low_expression,28,low_expression,1,low_expression,1,low_expression,4,low_expression,2,low_expression
ISTMES2_PLEURA,male,19956,high_expression,5530,high_expression,6444,high_expression,2120,high_expression,47520,high_expression,0,low_expression,5706,high_expression,2361,high_expression,3305,high_expression
J82_URINARY_TRACT,male,8983,high_expression,3928,high_expression,3070,high_expression,468,intermediate_expression,30014,high_expression,90,intermediate_expression,2548,high_expression,1595,high_expression,2496,high_expression
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,36,low_expression,2,low_expression,2,low_expression,0,low_expression,56,low_expression,2,low_expression,9,low_expression,4,low_expression,2,low_expression
JHESOAD1_OESOPHAGUS,male,20,low_expression,8,low_expression,0,low_expression,1,low_expression,23,low_expression,2,low_expression,4,low_expression,0,low_expression,2,low_expression
JHH1_LIVER,male,17,low_expression,2,low_expression,7,low_expression,1,low_expression,21,low_expression,0,low_expression,8,low_expression,4,low_expression,2,low_expression
JHH2_LIVER,male,13150,high_expression,6114,high_expression,7469,high_expression,3680,high_expression,63058,high_expression,41,intermediate_expression,1348,high_expression,3954,high_expression,5019,high_expression
JHH4_LIVER,male,19,low_expression,2,low_expression,11,low_expression,104,low_expression,22,low_expression,4,low_expression,3,low_expression,0,low_expression,2,low_expression
JHH5_LIVER,male,18112,high_expression,2689,high_expression,4651,high_expression,192,low_expression,39023,high_expression,201,high_expression,3448,high_expression,1936,high_expression,1973,high_expression
JHH6_LIVER,female,4,low_expression,4,low_expression,14,low_expression,0,low_expression,34,low_expression,0,low_expression,8,low_expression,3,low_expression,4,low_expression
JHH7_LIVER,male,15592,high_expression,4211,high_expression,5182,high_expression,2,low_expression,25244,high_expression,0,low_expression,6,low_expression,1321,high_expression,939,high_expression
JHOC5_OVARY,female,28,low_expression,5,low_expression,0,low_expression,1,low_expression,42,low_expression,0,low_expression,14,low_expression,4,low_expression,8,low_expression
JHOM1_OVARY,female,21,low_expression,2,low_expression,8,low_expression,2,low_expression,46,low_expression,0,low_expression,4,low_expression,4,low_expression,5,low_expression
JHOM2B_OVARY,female,21,low_expression,12,low_expression,20,low_expression,2,low_expression,101,low_expression,0,low_expression,10,low_expression,7,low_expression,6,low_expression
JHOS2_OVARY,female,37,low_expression,8,low_expression,10,low_expression,2,low_expression,49,low_expression,2,low_expression,15,low_expression,8,low_expression,0,low_expression
JHOS4_OVARY,female,37,low_expression,8,low_expression,9,low_expression,20,low_expression,84,low_expression,3,low_expression,11,low_expression,6,low_expression,4,low_expression
JHUEM1_ENDOMETRIUM,female,32,low_expression,4,low_expression,21,low_expression,15,low_expression,37,low_expression,2,low_expression,9,low_expression,4,low_expression,9,low_expression
JHUEM2_ENDOMETRIUM,female,23,low_expression,0,low_expression,14,low_expression,3,low_expression,23,low_expression,4,low_expression,3,low_expression,6,low_expression,4,low_expression
JHUEM3_ENDOMETRIUM,NA,54,low_expression,29,low_expression,26,low_expression,7,low_expression,185,low_expression,2,low_expression,16,low_expression,19,low_expression,26,low_expression
JHUEM7_ENDOMETRIUM,female,10,low_expression,2,low_expression,6,low_expression,128,low_expression,21,low_expression,1,low_expression,8,low_expression,0,low_expression,4,low_expression
JIMT1_BREAST,female,11,low_expression,10,low_expression,5,low_expression,0,low_expression,27,low_expression,2,low_expression,9,low_expression,2,low_expression,2,low_expression
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,21,low_expression,6,low_expression,6,low_expression,2,low_expression,36,low_expression,2,low_expression,9,low_expression,4,low_expression,0,low_expression
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,24026,high_expression,30435,high_expression,20483,high_expression,0,low_expression,43372,high_expression,301,high_expression,3,low_expression,6545,high_expression,3153,high_expression
JL1_PLEURA,male,10436,high_expression,1887,high_expression,3166,high_expression,2409,high_expression,40866,high_expression,0,low_expression,3027,high_expression,1301,high_expression,1687,high_expression
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,28614,high_expression,13944,high_expression,9109,high_expression,79,low_expression,34968,high_expression,310,high_expression,14428,high_expression,2181,high_expression,2938,high_expression
JMSU1_URINARY_TRACT,male,14,low_expression,8,low_expression,8,low_expression,0,low_expression,42,low_expression,0,low_expression,7,low_expression,7,low_expression,5,low_expression
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,2669,high_expression,3012,high_expression,3586,high_expression,2,low_expression,12338,high_expression,164,high_expression,2535,high_expression,2154,high_expression,458,high_expression
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,18069,high_expression,6585,high_expression,6562,high_expression,2,low_expression,59798,high_expression,196,high_expression,2223,high_expression,3841,high_expression,988,high_expression
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,15,low_expression,6,low_expression,6,low_expression,2,low_expression,33,low_expression,1,low_expression,7,low_expression,2,low_expression,4,low_expression
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,13101,high_expression,4414,high_expression,5645,high_expression,1543,high_expression,21982,high_expression,579,high_expression,4682,high_expression,4934,high_expression,2435,high_expression
K029AX_SKIN,NA,17,low_expression,0,low_expression,3,low_expression,0,low_expression,37,low_expression,0,low_expression,0,low_expression,0,low_expression,2,low_expression
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,23,low_expression,6,low_expression,7,low_expression,1,low_expression,24,low_expression,1,low_expression,6,low_expression,3,low_expression,3,low_expression
KALS1_CENTRAL_NERVOUS_SYSTEM,female,12,low_expression,2,low_expression,5,low_expression,51,low_expression,31,low_expression,2,low_expression,12,low_expression,0,low_expression,3,low_expression
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,8734,high_expression,5394,high_expression,9,low_expression,0,low_expression,35187,high_expression,163,high_expression,6,low_expression,2193,high_expression,2665,high_expression
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,7,low_expression,2,low_expression,7,low_expression,37,low_expression,32,low_expression,0,low_expression,0,low_expression,6,low_expression,2,low_expression
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,37,low_expression,7,low_expression,9,low_expression,29,low_expression,84,low_expression,2,low_expression,7,low_expression,12,low_expression,7,low_expression
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,40,low_expression,7,low_expression,16,low_expression,0,low_expression,61,low_expression,0,low_expression,6,low_expression,7,low_expression,4,low_expression
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,751,high_expression,233,intermediate_expression,10,low_expression,62,low_expression,1444,high_expression,15,low_expression,495,high_expression,174,intermediate_expression,142,intermediate_expression
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,26106,high_expression,4324,high_expression,17526,high_expression,62,low_expression,34,low_expression,578,high_expression,6970,high_expression,3321,high_expression,1662,high_expression
KATOIII_STOMACH,male,13,low_expression,4,low_expression,4,low_expression,0,low_expression,33,low_expression,0,low_expression,6,low_expression,8,low_expression,0,low_expression
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,13,low_expression,2,low_expression,3,low_expression,0,low_expression,27,low_expression,0,low_expression,6,low_expression,5,low_expression,5,low_expression
KD_SOFT_TISSUE,NA,5,low_expression,6,low_expression,0,low_expression,0,low_expression,27,low_expression,0,low_expression,0,low_expression,1,low_expression,4,low_expression
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,11251,high_expression,5387,high_expression,13361,high_expression,0,low_expression,35313,high_expression,337,high_expression,7224,high_expression,4097,high_expression,2078,high_expression
KE39_STOMACH,male,11,low_expression,6,low_expression,8,low_expression,0,low_expression,21,low_expression,0,low_expression,0,low_expression,0,low_expression,1,low_expression
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,16,low_expression,12,low_expression,7,low_expression,0,low_expression,118,low_expression,3,low_expression,5,low_expression,12,low_expression,7,low_expression
KELLY_AUTONOMIC_GANGLIA,NA,16,low_expression,4,low_expression,8,low_expression,77,low_expression,27,low_expression,0,low_expression,10,low_expression,2,low_expression,1,low_expression
KG1C_CENTRAL_NERVOUS_SYSTEM,male,18908,high_expression,3655,high_expression,4596,high_expression,3970,high_expression,87699,high_expression,113,high_expression,6524,high_expression,2785,high_expression,6110,high_expression
